Annual Net emissions/removals in kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query results for — Party: Australia and 44 other(s) | Year: Base year and 29 other(s) | Category: 1.  Energy and 279 other(s) | Classification: Total for category | Type of value: Net emissions/removals | Gas: CO₂ | Unit: kt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Year,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Last Inventory Year (2019)
Party,Category \ Unit,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt,kt
Australia,1.  Energy,259089.3482,259089.3482,261078.1907,265636.6192,269693.023,272493.8737,283547.1666,290187.3218,298419.9456,311658.6594,320155.2738,326738.6555,334467.8583,338883.2182,344699.5166,357307.5939,362400.3799,367645.3879,373463.4368,378804.4983,384419.2661,379926.0462,377958.1542,383029.3313,376126.5813,372490.6362,379690.1737,389237.7462,392759.3282,393408.2232,394499.8336
Australia,1.AA  Fuel Combustion - Sectoral approach,251676.179,251676.179,253930.9648,258171.1095,262400.8418,265436.4945,276243.4155,283143.916,291385.0228,304390.1475,312666.1696,318461.1832,325972.1477,330511.8745,337196.4121,350140.1117,355151.1976,360279.4692,365629.6337,370991.6293,376056.5986,371338.806,369725.4192,374388.141,366943.6466,362821.0671,368571.5577,376491.6657,377574.9771,376140.7417,374298.5669
Australia,1.A.1  Energy Industries,142550.688,142550.688,145798.893,149113.824,150856.9136,151678.6593,157480.7633,162065.7759,168676.2909,181227.9689,188414.6767,191300.6148,198481.4328,200598.6798,203856.4915,212923.5757,215219.5841,219705.3387,222727.8922,224490.4144,230787.7162,224948.3138,219013.4759,220698.0497,209453.3467,203218.6395,210135.5804,217307.7262,216609.1461,212312.7995,212031.0549
Australia,1.A.1.a  Public Electricity and Heat Production,129096.6081,129096.6081,131266.498,134115.566,135024.1985,136597.2293,142196.8249,147213.1991,152192.9849,164724.4512,170956.3745,174647.7981,181825.9399,183036.3598,185522.2871,193871.6598,195666.7143,200199.5559,202966.7192,204797.8331,210253.9934,203738.5773,197146.0149,197716.677,185720.3734,179408.6645,187753.38,193307.1596,188411.1634,181906.6971,178257.3115
Australia,1.A.1.b  Petroleum Refining,5512.070287,5512.070287,5741.477053,5637.98223,5990.356532,6199.494055,6333.404475,6176.0665,5802.589248,5935.291097,6782.599481,6152.227254,6264.26773,6190.786153,6045.75455,5521.265511,5463.884724,4907.450468,5319.774218,5110.705933,5191.892296,5285.287198,5684.298727,5141.383292,4899.393982,4582.602096,3853.209109,2951.891447,2982.321184,3075.199434,3002.039999
Australia,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,7942.009593,7942.009593,8790.917914,9360.275806,9842.358528,8881.935968,8950.533968,8676.510348,10680.71676,10568.22655,10675.70269,10500.58946,10391.22524,11371.53383,12288.44982,13530.65036,14088.9851,14598.33232,14441.39871,14581.87535,15341.8305,15924.44931,16183.16223,17839.98944,18833.57928,19227.37284,18528.9913,21048.67524,25215.66156,27330.90298,30771.70336
Australia,1.A.1.c.i  Manufacture of Solid Fuels,2463.001661,2463.001661,3079.434615,3350.408075,3089.399442,2008.658902,1553.422509,814.5369523,2288.456885,1488.224541,1633.190664,1120.418751,860.6483688,1023.362012,1661.457097,1766.077448,1309.960339,1671.774403,1954.484009,1953.332432,1829.332655,2314.809076,1662.538167,2199.643133,1836.219694,1523.305269,1044.995824,1033.9871,1255.168721,717.2861761,602.7401609
Australia,1.A.1.c.ii  Oil and Gas Extraction,4188.310333,4188.310333,4397.653623,4683.095822,5325.242153,5453.111472,6005.276475,6382.657194,6813.055997,7296.480518,7117.528794,7384.474377,7494.620841,8201.699518,6590.278821,7232.521698,7472.354556,8100.263134,7980.929202,8012.702366,8544.867477,8489.222024,8707.438636,8700.516999,9565.11293,10208.33541,10399.82568,12517.71645,15896.75461,17824.50736,20722.58177
Australia,1.A.1.c.iii  Other Energy Industries,1290.697599,1290.697599,1313.829677,1326.771909,1427.716933,1420.165594,1391.834984,1479.316202,1579.203874,1783.521493,1924.983236,1995.696328,2035.956027,2146.472299,4036.713902,4532.051219,5306.670207,4826.29478,4505.985496,4615.840551,4967.630368,5120.418213,5813.185426,6939.829312,7432.24666,7495.732166,7084.169796,7496.97169,8063.738226,8789.109442,9446.381432
Australia,1.A.2  Manufacturing Industries and Construction,35866.53863,35866.53863,35411.64279,34991.92526,35542.95072,36314.32575,37242.61739,37257.60792,37342.36258,37440.66474,37694.5848,38507.76508,38027.95694,38705.2387,39194.98775,40063.56503,41127.21052,40191.29482,40457.90615,42551.08063,40172.08696,39306.73389,40476.85971,42444.02597,45500.81704,45886.22652,41987.29856,40478.68846,39564.19936,40222.09304,40308.56018
Australia,1.A.2.a  Iron and Steel,2722.848027,2722.848027,2563.003899,2467.281691,2477.269873,2745.369367,2909.221859,2966.565037,2817.632488,2820.567426,2682.554471,2509.135989,2535.44596,2756.86493,2455.923558,2672.586906,2903.811467,2573.211131,2468.369153,2807.357392,2005.470829,1732.5028,1610.507197,1575.034039,1704.878933,1529.747103,1534.542153,1550.626376,1435.622603,1548.211337,1463.135545
Australia,1.A.2.b  Non-Ferrous Metals,11150.13484,11150.13484,11594.36117,11930.9392,12075.90132,12366.85291,12432.58068,12253.03085,12488.50414,12182.26962,12526.62472,13261.88729,12490.50356,12694.44555,12423.85234,12733.46625,13722.72653,13867.54406,14142.18615,14748.3629,13379.42045,12815.70759,12250.89513,12959.95361,14526.98367,15220.91589,12699.30576,12605.30092,12433.84602,12259.23223,11588.94415
Australia,1.A.2.c  Chemicals,5624.678151,5624.678151,5778.964324,5357.590485,5524.736372,5435.816298,5578.85962,5891.105523,5473.744918,6137.895882,5783.185899,6036.658139,6646.445129,6133.815649,6822.844082,7504.252104,6839.326083,6570.578446,6194.263496,6921.267472,6765.772492,6989.958223,7986.729918,8675.221909,9025.853261,9146.772607,8505.679111,7395.527392,6812.673356,6842.07296,7548.276005
Australia,"1.A.2.d  Pulp, Paper and Print",1289.606258,1289.606258,1153.698414,1170.321196,1356.462445,1295.461253,1328.18122,1299.343637,1376.484829,1284.231681,1476.841681,1448.962873,1463.622873,1463.622873,1500.222926,1616.610519,1766.32637,1770.959154,1707.817951,1652.902353,1323.431798,1286.223476,1126.035124,1018.411973,1089.367023,957.395193,958.2991386,936.2534217,950.2669622,998.3059937,974.8964209
Australia,"1.A.2.e  Food Processing, Beverages and Tobacco",2895.946007,2895.946007,3005.066007,3001.160342,2982.926301,3109.360138,3214.908016,3200.994905,3144.093714,3124.72444,3062.397289,3079.405632,2480.746097,2489.601591,3258.2317,2965.391728,3394.254176,3309.006745,2999.019355,3061.862423,3085.256348,2999.524614,3157.991351,3007.292617,2873.593021,2835.192832,2768.067984,2727.869438,2548.749969,2523.246517,2531.536606
Australia,1.A.2.f  Non-metallic Minerals,5500.98888,5500.98888,4972.967835,4769.253068,4816.417835,5082.932864,5196.607166,4783.240794,4844.651411,4903.621411,5063.371672,5030.804071,5394.560949,5478.053656,6457.756187,6487.30745,6246.410379,6117.586488,6773.021816,6826.217647,6149.549291,6311.322078,6379.798781,5815.428407,5558.831605,5283.012068,5248.170999,5169.370142,4894.88478,4928.920062,4862.010729
Australia,1.A.2.g  Other,6682.33647,6682.33647,6343.581147,6295.37928,6309.236571,6278.532912,6582.258828,6863.327172,7197.251083,6987.354277,7099.609076,7140.911093,7016.632373,7688.834443,6276.156954,6083.950075,6254.355517,5982.408798,6173.228226,6533.110444,7463.185747,7171.495106,7964.902203,9392.683414,10721.30953,10913.19083,10273.23342,10093.74077,10488.15567,11122.10395,11339.76072
Australia,1.A.2.g.i  Manufacturing of Machinery,479.7077304,479.7077304,465.5665385,460.4253467,456.162963,457.0417712,447.6381957,447.6381957,427.0734284,417.6698529,407.3874692,386.8227019,317.3507835,311.3307835,309.6628917,368.2065135,373.0474754,328.2294773,349.5541197,351.8588351,403.1639911,369.1214828,384.7414139,371.8859519,316.0595662,272.5606657,240.544072,212.6596026,189.2554386,115.7428334,80.41610536
Australia,1.A.2.g.iii  Mining (Excluding Fuels) and Quarrying,2475.928929,2475.928929,2459.000758,2562.647233,2648.853333,2691.942057,3071.330357,3485.995851,3940.158106,3796.96534,4023.326098,4177.318842,4178.8223,4850.614625,3412.772102,3203.256406,3298.727883,3219.74081,3391.849996,3763.046064,4781.515553,4569.026759,5332.95235,6770.425053,8205.947525,8457.9779,7843.842186,7779.810891,8208.013056,8797.38577,9164.677835
Australia,1.A.2.g.v  Construction,2848.033215,2848.033215,2582.413215,2491.543215,2405.814407,2329.294407,2251.434407,2174.544407,2097.654407,2076.438709,2016.821092,1952.062284,1916.61586,1918.484154,1867.194287,1844.804004,1868.451542,1761.454009,1761.184855,1762.257125,1723.978759,1694.478683,1692.859008,1679.004976,1651.02544,1648.613972,1687.566837,1600.216548,1579.891704,1678.624584,1584.418486
Australia,1.A.2.g.vi  Textile and Leather,522.3474692,522.3474692,495.7050855,479.7150855,512.7810447,524.9122365,557.9570039,516.6734284,509.3134284,494.6722365,465.8898529,453.9462774,453.9462774,459.0874692,454.5495283,431.4302708,479.1165332,467.6733893,463.3113401,440.9022241,394.6844689,371.4716701,373.8131286,376.3164553,377.4670515,373.3434628,353.7621106,356.0121978,362.0631941,385.3282583,361.2003821
Australia,1.A.2.g.viii  Other,356.3191264,356.3191264,340.8955509,301.0483999,285.6248244,275.3424407,253.8988652,238.4752897,223.0517142,201.6081387,186.1845632,170.7609877,149.8971531,149.3174122,231.9781449,236.2528811,235.0120833,205.3111119,207.3279155,215.0461955,159.842975,167.3965103,180.5363033,195.050978,170.8099484,160.6948259,147.51821,145.0415321,148.932274,145.0224993,149.0479136
Australia,1.A.3  Transport,59821.59518,59821.59518,59163.84901,60087.5808,61562.17588,62998.05703,66231.55254,68032.39766,69277.17517,69393.71305,70156.59713,71712.10569,71659.43565,73057.24836,75417.27574,78428.09659,79578.61391,80924.7436,82929.96407,84025.12432,84941.09415,86494.91347,89173.66519,89769.54816,90053.17556,91221.61332,93378.02319,94609.45011,96951.99123,98973.0441,98769.99017
Australia,1.A.3.a  Domestic Aviation,2614.888195,2614.888195,3246.650524,3521.271192,3693.008992,3915.53718,4614.032589,5064.617831,5405.29301,4903.11388,4747.669276,4935.917615,5482.631895,4929.317787,4708.616934,4930.306511,5360.229546,5638.016552,6112.76251,6620.285557,6653.222737,6766.94873,7591.195858,7925.933891,8410.906275,8505.110206,8532.879839,8734.254139,8777.458125,9000.08899,8452.550368
